Food,Category,Recipe/Single_food_item,Fiber_(g),Quantity,Carbohydrate_(g),Protein_(g),Fat_(g),Calories_(kcal),Protein_(g)_nutritions,Fats_(g),Carbohydrates_(g),Starch_(g),Cholesterol_(mg),Calcium_(mg),Magnesium_(mg),Iron_(mg),Zinc_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vitamin_B6_(mg),Vitamin_B12_(mcg),"Folate,_ug",Vitamin_C_(mg),Retinol_Activity_Equivalents_(ug),Vitamin_E_(ug),total_n-6_fas_(%_of_energy),total_n-3_fas_(%_of_energy),Vitamin_B5_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Selenium_(mcg),Retinol_(mcg),Saturated_fatty_acids_(g),Mono-unsaturated_fatty_acids_(g),Poly-unsaturated_fatty_acids_(g),Free_sugars_(g)
"BISCUIT, BRAN",Breakfast,S,0,86.0,59.839999999999996,4.42,12.1,474.0,6.4,15.1,75.4,55.1,0.0,157.0,23.0,2.03,1.0,0.12,0.01,1.4,0.06,0.0,12.0,0.0,0.0,2.8,3.5,0.2,0.3005914022,104.92423946,226.28183134,36.665882239999995,2.416034602,3.2,26.9742312,47.09742200000001,45.4694374,1.2586374
"BISCUIT, CHEESE FLAVORED",Breakfast,S,0,86.0,57.839999999999996,5.220000000000001,10.7,474.0,10.5,28.1,53.2,50.5,0.0,263.0,34.0,2.08,1.4,0.25,0.1,2.1,0.07,0.0,35.0,0.0,49.0,8.7,0.0,0.0,0.5527331864,142.53102715999998,410.12003397999996,37.539746916,57.12875166599999,22.4,249.21467119999997,361.01870399999996,814.6781194,1.852678006
"BISCUIT, CHOCOLATE CHIP",Breakfast,S,0,86.0,59.839999999999996,4.42,12.1,335.8,5.4,24.9,60.0,30.0,0.0,117.0,34.0,2.3,0.7,0.13,0.08,0.9,0.03,0.0,36.0,0.0,0.0,2.2,6.4,0.2,0.21626400019999997,42.793120564,329.4610586,38.4238012076,1.9692001912,3.2,99.7896944,118.52709140000002,260.3516532,5.135031018000001
"BISCUIT, CHOCOLATE, FULL COATED",Breakfast,S,0,86.0,59.839999999999996,4.42,12.1,474.0,6.4,27.2,62.8,23.5,0.0,163.0,46.0,2.01,1.0,0.14,0.19,1.2,0.09,0.0,14.0,0.0,28.0,1.6,3.1,0.1,0.301749599,70.62953479000001,279.68513687999996,36.247655769,7.8556211002,3.2,26.9742312,47.09742200000001,45.4694374,1.7738483979999997
"BISCUIT, CREAM CRACKERS",Breakfast,S,0,86.0,59.839999999999996,4.42,12.1,335.8,5.0,23.3,65.8,36.0,0.0,118.0,29.0,2.19,0.6,0.16,0.05,1.6,0.06,0.0,11.0,0.0,0.0,2.3,0.0,0.0,0.2287117442,46.13454136399999,343.77681859999996,38.5130999276,1.9412709812000002,3.2,70.75917460000001,59.246480999999996,105.3388152,4.9984759620000005
"BISCUIT, CREAM FILLED",Breakfast,S,,86.0,57.839999999999996,5.220000000000001,10.7,329.8,9.6,16.3,68.3,31.639999999999997,0.0,61.6,29.4,1.8359999999999999,0.8799999999999999,0.22999999999999998,0.23800000000000004,2.18,0.057999999999999996,0.0,34.0,0.0,0.8,1.6600000000000001,2.18,0.1,9.4965573962,155.91097168599998,333.81473938,120.54731216420001,2.0380114318,7.8,46.92378,31.360920000000004,83.125604,0.6985708044
"BISCUIT, GINGER",Breakfast,S,0,86.0,60.839999999999996,4.220000000000001,5.1,281.8,4.8,15.7,75.3,44.0,0.0,43.0,18.0,1.5,0.5,0.1,0.03,0.9,0.07,0.0,11.0,0.0,0.0,2.1,3.4,0.1,0.34811789340000004,60.198541641999995,165.192298888,53.2272527696,9.7730890276,7.8,46.15394,41.937224,54.411784,10.253144718600002
"BISCUIT, LEMON PUFF",Breakfast,S,0,86.0,59.839999999999996,4.42,12.1,335.8,5.0,23.3,65.8,36.0,0.0,118.0,29.0,2.19,0.6,0.16,0.05,1.6,0.06,0.0,11.0,0.0,0.0,2.3,0.0,0.0,0.2287117442,46.13454136399999,343.77681859999996,38.5130999276,1.9412709812000002,3.2,70.75917460000001,59.246480999999996,105.3388152,4.9984759620000005
"BISCUIT, MARIE",Breakfast,S,0,86.0,60.839999999999996,4.220000000000001,5.1,331.2,7.1,10.6,70.5,0.0,0.0,0.0,28.0,0.0,0.61,0.54,0.49,3.9,0.07,0.0,98.0,0.0,1.0,0.0,0.0,0.0,0.45366099520000003,152.7360807,309.11798064000004,18.669998824400004,32.5148680918,0.0,112.8667148,149.67640160000002,321.875668,3.1169415664
"BISCUIT, SAVORY",Breakfast,S,,86.0,53.839999999999996,5.42,11.1,311.8,6.6,32.4,54.6,14.66,0.8,151.4,50.8,1.706,0.998,0.1456,0.37560000000000004,2.2803999999999998,0.24500000000000002,0.28200000000000003,47.2,4.32,0.0,4.789999999999999,1.08,0.12000000000000002,9.250614296,143.8663184,162.262728,357.99428800000004,6.2699944,7.8,398.96083200000004,776.91476,263.336144,1.202923003
"BISCUIT, SEMI SWEET",Breakfast,S,0,86.0,59.839999999999996,4.42,12.1,474.0,6.4,15.1,75.4,55.1,0.0,157.0,23.0,2.03,1.0,0.12,0.01,1.4,0.06,0.0,12.0,0.0,0.0,2.8,3.5,0.2,0.3005914022,104.92423946,226.28183134,36.665882239999995,2.416034602,3.2,26.9742312,47.09742200000001,45.4694374,1.2586374
"BISCUIT, SHORTIES",Breakfast,S,0,86.0,59.839999999999996,4.42,12.1,335.8,5.6,20.9,71.7,48.0,0.0,95.0,20.0,1.64,0.7,0.17,0.02,1.3,0.05,0.0,9.0,0.0,0.0,2.7,3.9,0.1,0.5674772814,98.06725456000001,416.82183222000003,48.83882168480001,12.052288976,7.8,192.9101698,236.21302139999997,361.0386592,1.2741246062
"BISCUIT, SWEET, FLAVORED, NO FILLING",Breakfast,S,0,86.0,60.839999999999996,4.220000000000001,5.1,281.8,6.6,14.2,72.7,0.0,0.0,31.0,53.0,4.01,1.09,0.2,0.27,2.9,0.05,0.0,39.0,0.0,3.0,0.0,0.0,0.0,1.0003733946,136.05192462199997,304.24823632000005,17.9626025452,15.12936023,7.8,101.677268,65.7140048,220.25386399999996,0.6485451234
"BISCUIT, WAFER, FILLED",Breakfast,S,,86.0,60.839999999999996,4.220000000000001,5.1,281.8,4.7,30.0,66.0,24.32,0.0,73.0,44.1,1.6,0.6,0.09,0.08,0.5,0.03,0.0,7.0,0.0,0.0,0.9800000000000001,1.64,0.06000000000000001,0.940098536,124.13130999999998,354.02478,32.077406,9.844124240000001,7.8,221.57516,260.811534,402.774714,1.0436693242
"BITTER GOURD AND DRIED FISH, TEMPERED",Dessert,R,3.517498,92.0,34.32000000000001,3.4599999999999995,8.540000000000001,213.2,16.427172,6.6473227,3.7093101,0.87094396,37.847267,66.360687,68.434906,2.4012198,1.1521312,0.04225808,0.088665657,1.4974798,0.31769592,0.85764325,116.17651,27.659698,40.22739,0.055943001,1.1800000000000002,0.5399999999999999,0.50519115,136.09486,467.18985,2945.8645,123.62455,1.6,500.136022,814.444898,318.801706,0.53767228
"BITTER GOURD, BOILED CURRY",Dessert,R,4.0376868,92.0,45.08,4.84,10.64,282.4,2.895509,12.091337,7.7576642,332.21939,46.282219,1.539322,0.0,130.08214,35.69302,2.5143261,0.599783,0.083304599,0.04873405,0.0,0.10490565,11.66,44.373009,37.5686,12.113568,4.9451141,61.297974,0.082444996,111.6,7.2,0.37529901,0.0,0.16440000000000002,0.0026,0.0034000000000000002,5.59296124
"BITTER GOURD, DEEP-FRIED",Dessert,R,4.904356003,92.0,34.32000000000001,3.46,8.540000000000001,213.2,1.870730996,13.43704414,3.815227032,1.498049021,0.0,29.62546158,44.46085739,2.467679977,0.334140807,0.061636325,0.065852724,0.423174053,0.064879976,0.1,38.84122467,40.76124191,55.97129822,0.095802002,1.54,0.15999999999999998,0.354368001,53.16101456,405.234436,14.07113171,6.788374901,0.0,34.0921824,13.671896,87.09372599999999,0.149242997
"BITTER GOURD, TEMPERED",Dessert,R,0,106.0,41.32000000000001,4.459999999999999,8.34,426.6,3.1,3.2,12.5,2.0,0.0,86.0,45.3,2.06,0.66,0.12,0.13,0.4,0.08,0.0,20.6,99.5,100.0,0.1,1.3,0.2,0.37893120100000005,49.027193906,314.60490808,15.8547849332,3.6417227754000003,19.2,253.08408,172.83207,243.235652,2.0463407688
"BITTER GOURD, TEMPERED & BOILED, W/ COCONUT MILK",Dessert,R,2.616647005,106.0,41.32000000000001,4.46,8.34,376.4,2.515836,19.01440811,6.509402752,0.773599029,0.0,121.6432571,23.47864342,2.175796032,0.593542993,0.062829502,0.032811102,0.73990941,0.069799051,0.48144591800000003,31.71823692,24.32664871,56.08591461,0.065568,0.8400000000000001,0.34,0.199725002,29.06676483,219.6775055,8.31920433,2.996654987,20.8,103.02601899999999,32.2418988,125.268086,0.611693978
"BITTER GOURD, TEMPERED, SALAD",Dessert,R,7.7598701,92.0,34.32000000000001,3.4599999999999995,8.540000000000001,213.2,2.9312789,10.62128,8.1964159,2.416579,0.0,163.63164,65.63517,3.6447051,0.695337,0.13166161,0.094158702,0.76335621,0.111834,0.0,75.947113,67.157219,61.234367,0.171661,1.58,0.18,0.66120404,73.732941,515.15076,21.691681,5.8523231,0.0,293.69894,40.341515,225.27649,1.696732
"BITTER GOURD, W/ COCONUT MILK",Dessert,R,0,106.0,38.480000000000004,4.64,10.24,247.4,2.7,23.7,9.1,2.5,0.0,44.0,22.8,1.4,0.29,0.04,0.04,0.2,0.02,0.0,4.7,32.3,97.0,0.1,0.4,0.0,0.3700114966,40.610515286,277.3364786,22.013632547999997,82.6190082514,27.0,59.211579199999996,48.632654,119.79553760000002,3.8709344254
"BLACK GRAM, SPLIT, BOILED & TEMPERED",Dessert,R,4.347791195,92.0,41.32000000000001,2.26,2.54,183.2,7.801460266,5.394796371,18.49678802,16.94511414,0.0,16.40919495,51.85929871,1.615635037,0.999811172,0.0546804,0.0293651,0.475339442,0.064100951,0.0,21.81975174,1.898029923,2.221201658,0.065935001,0.5599999999999999,0.33999999999999997,1.168722034,109.0961838,340.1612244,7.498131752,7.125395775,0.0,65.3030426,54.9797268,173.56992,0.925099969
"BLACK GRAM, SPLIT, BOILED & TEMPERED, W/ COCONUT MILK",Dessert,R,3.4279039,92.0,41.32,2.2600000000000002,2.54,183.2,6.6546879,13.020208,15.831752,12.661238,0.0,39.1688,40.380898,1.7964001,0.98190802,0.050913699,0.023724699,0.625835,0.064724401,0.12672181,21.713665,3.7421486,8.3368397,0.063330002,0.8,0.1,0.87420398,83.146988,265.98041,5.745357,5.4293337,19.2,84.894287,50.672607,210.69966,0.73092401
"BLACK GRAM, SPLIT, BOILED, W/ COCONUT MILK",Dessert,R,3.4279039,92.0,41.32,2.2600000000000002,2.54,183.2,6.6546879,8.2202082,15.831752,12.661238,0.0,39.1688,40.380898,1.7964001,0.98190802,0.050913699,0.023724699,0.625835,0.064724401,0.12672181,21.713665,3.7421486,8.3368397,0.063330002,0.8,0.1,0.87420398,83.146988,265.98041,5.745357,5.4293337,19.2,80.522453,50.306366,210.6387,0.73092401
"BLACK GRAM, WHOLE, BOILED",Dessert,R,6.8414321,92.0,45.08,4.84,10.64,282.4,7.3643441,0.529616,14.745448,293.09888,109.8618,14.142088,0.0,26.091784,54.1348,1.8038195,0.92105401,0.075084798,0.029497599,0.0,0.133242,5.8,29.195921,0.0,8.5341921,9.3788958,0.0,0.077096,48.914,8.686,1.334096,0.0,0.16440000000000002,0.006156,0.025,5.629203
"BLACK GRAM, WHOLE, BOILED & TEMPERED",Dessert,R,12.02272606,92.0,34.32000000000001,3.46,8.540000000000001,213.2,12.81832314,5.735946178,26.30349731,24.39634132,0.0,46.73707199,94.63764191,3.134781361,1.603716493,0.136062011,0.0561295,0.843974054,0.247671455,0.1,52.45569611,2.761360407,2.068122387,0.142408013,1.22,0.6599999999999999,2.33164382,192.5546112,528.5567017,15.15276337,16.00069427,7.8,123.78404599999999,230.56731999999997,376.114402,0.84306699
"BLACK GRAM, WHOLE, BOILED, W/ COCONUT MILK",Dessert,R,5.5529041,92.0,41.32000000000001,2.2600000000000002,2.54,183.2,6.5396876,8.192708,13.926752,10.831238,0.0,48.0788,43.780899,1.9809,0.95040798,0.071913704,0.0277247,0.65021002,0.1303494,0.054330122,29.211414,3.7421486,7.9588399,0.078330003,1.1999999999999997,0.2,1.044204,87.659485,250.78041,6.9827318,7.1593337,22.4,74.022453,44.306366,203.1387,0.58342403
BOILED CHICKPEAS,Breakfast,S,,100.0,27.0,9.0,2.6,164.0,6.36411666,16.129552800000003,23.494830600000004,20.3513071484,0.0,65.9113388,83.03177235199999,1.57884348,1.0691781900000001,0.090347218,0.101402638,1.4948898000000002,0.08133687460000001,0.0012969976,28.370682600000002,13.02,9.6796568,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
BOILED COWPEA,Breakfast,S,,100.0,21.0,7.7,0.5,116.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
BOILED JACKFRUIT SEED,Breakfast,S,,5.0,2.5,0.6,0.1,13.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
BOILED MUNG,Breakfast,S,,100.0,19.0,7.0,0.4,105.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
BOILED POTATOES,Breakfast,S,,50.0,10.3,1.0,0.1,44.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
BOILED SWEET POTATO,Breakfast,S,,100.0,20.0,1.6,0.1,90.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
BOONDI,Breakfast,S,,50.0,38.0,3.0,10.0,240.0,7.296972285200001,16.996562439799998,44.163274966,19.9649454922,0.0,73.47760466999999,82.25412445600001,3.1624691246,1.2001095659999998,0.0900431242,0.1044363336,1.5849060602,0.11928794760000001,0.0012969976,28.554310874,0.62,8.5489104212,5.2386287378,4.819999999999999,0.08,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"BOTTLE GOURD, W/ COCONUT MILK",Dessert,R,2.862,92.0,32.480000000000004,3.44,3.44,161.4,1.6,11.2,5.4,2.1,0.0,27.0,18.7,0.82,0.24,0.03,0.01,0.2,0.02,0.0,46.0,3.3,32.0,0.1,0.7,0.2,0.2829166862,55.3939216,212.22369405999999,672.4914028000001,65.3867827916,0.0,60.561881199999995,20.888769439999997,112.2274378,1.6116473949999999
"BREAD FRUIT, BOILED AND TEMPERED",Dessert,R,5.267781258,92.0,41.32000000000001,2.2600000000000002,2.54,183.2,1.520608068,4.531563282,25.5548172,0.661677003,0.0,51.86138916,29.28027916,0.809082031,0.160689995,0.098721199,0.0198949,0.824958146,0.278159052,0.054330122,10.45051765,23.04183197,15.42267513,0.918381989,2.3800000000000003,1.6800000000000002,0.595974028,38.56578445,500.1400757,2.833723068,0.440740973,0.0,21.627865000000003,12.0418564,67.390298,0.51849097
"BREAD FRUIT, BOILED AND TEMPERED, W/ COCONUT MILK",Dessert,R,3.585562,92.0,34.32000000000001,3.4599999999999995,8.540000000000001,376.4,2.2645531,12.721217,23.386019,0.36348501,0.0,181.12511,26.377901,2.3150971,0.45493999,0.1094522,0.01777235,0.86367768,0.1617189,0.258,11.896067,13.386724,10.724582,0.44606,0.7,0.08,0.32745701,36.067867,334.08249,4.8330112,0.55067301,3.2,23.661156,14.85712,58.997177,6.174787
"BREAD FRUIT, BOILED, PLAIN",Dessert,R,1.8,92.0,38.480000000000004,2.44,4.4399999999999995,185.4,1.3,0.2,13.4,13.4,0.0,34.0,0.4,0.43,0.0,0.02,0.05,0.0,0.0,0.0,0.0,9.8,1.0,0.0,0.0,0.0,0.1103347898,18.3765766,123.9532098,6.03151184,80.381188256,0.0,16.692174,100.7906238,72.06624099999999,0.76345224
"BREAD FRUIT, BOILED, W/ COCONUT MILK",Dessert,R,1.7,92.0,38.480000000000004,2.44,4.4399999999999995,185.4,1.9,11.8,13.3,1.2,0.0,32.0,3.7,0.6,0.04,0.02,0.04,0.0,0.0,0.0,0.9,8.1,13.0,0.0,0.2,0.0,0.0820023924,13.082352219999999,67.85279599999998,4.779495836,16.618064057999998,0.0,15.373887999999999,17.88991094,56.841009400000004,0.9445076071999999
"BREAD, WHOLEMEAL",Breakfast,S,0,92.0,43.92,4.86,9.14,262.2,9.4,2.5,42.0,39.3,0.0,106.0,66.0,2.4,1.6,0.25,0.05,3.8,0.11,0.0,40.0,0.0,0.0,0.3,3.1,0.0,0.9328960844,115.11454059999998,369.79461616,13.4083954686,13.6284978992,3.2,161.400206,300.49625799999995,505.68603600000006,0.8531695535999999
"BREAD,WHITE",Breakfast,S,0,86.0,59.839999999999996,4.42,12.1,388.0,8.7,2.1,48.7,45.8,0.0,155.0,22.0,1.5,0.7,0.22,0.07,1.6,0.07,0.0,29.0,0.0,0.0,0.1,0.0,0.0,0.3005914022,104.92423946,226.28183134,36.665882239999995,2.416034602,3.2,26.9742312,47.097422,45.4694374,1.2586374
"BRINJAL AND DRIED FISH, TEMPERED",Dessert,R,10.1,100.0,39.44,4.5200000000000005,8.36,420.2,42.2,9.4,13.8,6.9,91.7,161.0,141.4,3.83,1.72,0.25,0.4,6.4,0.53,1.8571914,37.3,7.5,309.0,1.9,2.3,0.2,0.5815068854000001,154.74482278,1080.78610712,27.143607154,16.9286052608,22.4,290.970816,510.37065299999995,877.6220900000001,3.0648682054000003
"BRINJAL AND DRIED FISH, W/ COCONUT MILK",Dessert,R,2.1,92.0,32.480000000000004,3.44,3.44,161.4,8.2,12.5,5.6,2.7,15.4,31.0,26.6,0.92,0.33,0.04,0.06,0.7,0.09,0.31178904,9.7,2.1,44.0,0.4,0.6,0.1,0.2835911492,78.55148947,284.88822036,16.55217307,9.8290195228,0.0,47.648191399999995,19.1736622,79.373051,2.485245382
BRINJAL MOJU,Dessert,R,5.9,86.0,39.4,5.0,11.0,259.0,3.3,35.7,9.7,3.8,0.0,38.0,36.6,1.37,0.41,0.07,0.15,0.8,0.09,0.0,12.3,4.8,68.0,0.3,1.6,0.1,0.44443809160000003,50.91543549000001,350.01773756,18.482012472999997,3.6530506421999993,7.8,66.69158519999999,46.5785374,110.32459539999999,4.034097857
"BRINJAL, TEMPERED",Dessert,R,0,92.0,32.480000000000004,3.44,3.44,161.4,1.7,11.3,5.0,1.9,0.0,20.0,18.9,0.92,0.21,0.05,0.07,0.5,0.06,0.0,9.2,2.4,20.0,0.2,1.9,0.1,0.3596957984,72.178417048,230.14200685999998,315.6286746914,24.264184631199996,0.0,50.3899508,25.862743600000005,102.02374,1.4180449744
"BRINJAL, TEMPERED, W/ COCONUT MILK",Dessert,R,2.9,92.0,32.480000000000004,3.44,3.44,161.4,1.9,14.3,5.7,2.6,0.0,22.0,20.1,0.92,0.23,0.03,0.06,0.3,0.04,0.0,7.5,2.0,44.0,0.1,1.3,0.1,0.30956014719999997,37.812674470000005,225.38530436000002,9.734671889999998,4.229298686800001,0.0,35.317994399999996,19.648564600000004,95.446584,1.6793887838
"BRINJAL, W/ COCONUT MILK",Dessert,R,2.5,92.0,32.480000000000004,3.44,3.44,161.4,1.8,11.6,5.2,2.2,0.0,18.0,16.6,0.69,0.18,0.02,0.05,0.2,0.03,0.0,4.6,1.5,34.0,0.1,0.8,0.1,0.3754201982,94.93296038000001,267.57574850000003,17.434905712,9.158297058799999,0.0,52.436713,29.185114799999997,119.52237219999999,1.6362885749999996
BROWN RICE,Breakfast,S,,80.0,19.0,2.0,1.0,90.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
BUFFALO MILK,Breakfast,S,0,92.0,37.32000000000001,2.46,2.94,283.4,3.7,6.6,8.4,0.0,0.0,121.0,10.1,0.16,0.3,0.05,0.13,0.1,0.04,0.36,8.6,2.4,0.0,0.2,1.3,0.3,0.1874082016,48.8866648,266.24377999999996,57.94427800000001,0.671656596,3.2,27.8411516,43.0005904,66.4901812,0.7242859460000001
BULATH VITA,Breakfast,S,0,92.0,38.480000000000004,2.44,4.4399999999999995,284.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BUN, CREAM",Breakfast,S,0,86.0,59.839999999999996,4.42,12.1,335.8,8.0,5.6,52.6,36.6,0.0,110.0,27.0,1.9,0.6,0.22,0.16,2.1,0.11,0.0,12.0,1.0,0.0,0.4,3.1,0.7,0.29961174399999996,46.330541964,342.44481859999996,46.1638199276,0.8353709812,3.2,60.6838298,53.506094,74.6835512,4.9984759620000005
"BUN, CURRY FILLED",Breakfast,S,,92.0,34.32,3.46,8.540000000000001,236.8,2.3200000000000003,7.38,10.88500002,5.18,11.74,115.6,41.72,2.346,0.41600000000000004,0.046,0.098,0.64,0.14400000000000002,0.0,23.060000000000002,5.08,45.2,0.22000000000000003,0.75,0.39,9.168462692999999,27.8039994,497.4327998,5.6014271496,125.19192308000001,0.0,300.42879999999997,6.7820616000000005,67.894524,0.506959784
"BUN, ICED OR SUGAR GLAZED",Breakfast,S,0,86.0,59.839999999999996,4.42,12.1,335.8,8.0,5.6,52.6,36.6,0.0,110.0,27.0,1.9,0.6,0.22,0.16,2.1,0.11,0.0,12.0,1.0,0.0,0.4,3.1,0.7,0.29961174399999996,46.330541964,342.44481859999996,46.1638199276,0.8353709812,3.2,60.6838298,53.506094,74.6835512,4.9984759620000005
"BUN, JAM",Breakfast,S,0,86.0,59.839999999999996,4.42,12.1,335.8,8.0,5.6,52.6,36.6,0.0,110.0,27.0,1.9,0.6,0.22,0.16,2.1,0.11,0.0,12.0,1.0,0.0,0.4,3.1,0.7,0.29961174399999996,46.330541964,342.44481859999996,46.1638199276,0.8353709812,3.2,60.6838298,53.506094,74.6835512,4.9984759620000005
"BUN, WHITE, PLAIN",Breakfast,S,,92.0,52.92,2.86,4.54,238.2,8.4,1.9,49.3,37.14,0.0,110.0,34.8,1.6,0.6,0.2,0.06,1.7,0.07,0.0,29.0,0.0,0.0,0.38,3.1,0.5599999999999999,0.33161174399999993,83.930541964,761.8448185999999,42.0538199276,4.201370981199999,3.2,49.009374599999994,15.360082999999998,93.0621972,5.9147959619999995
"BUN,CURRANT",Breakfast,S,0,86.0,59.839999999999996,4.42,12.1,335.8,8.0,5.6,52.6,36.6,0.0,110.0,27.0,1.9,0.6,0.22,0.16,2.1,0.11,0.0,12.0,1.0,0.0,0.4,3.1,0.7,0.29961174399999996,46.330541964,342.44481859999996,46.1638199276,0.8353709812,3.2,60.6838298,53.506094,74.6835512,4.9984759620000005
BUTTER,Breakfast,S,0,86.0,46.4,3.8,5.0,229.0,0.6,82.2,0.6,0.0,0.0,18.0,2.0,0.0,0.1,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.3,0.7,0.1077251986,33.62003946,74.0123422,12.288064217999999,4.197299001999999,0.0,32.6550922,6.00953916,18.4722204,1.0406984052
BUTTER CAKE,Breakfast,S,,50.0,27.0,2.0,12.0,220.0,7.296972285199999,16.996562439799998,44.163274966,19.9649454922,0.0,73.47760466999999,82.25412445600001,3.1624691246,1.2001095659999996,0.0900431242,0.1044363336,1.5849060602,0.11928794760000001,0.0012969976,28.554310874,0.62,8.5489104212,5.2386287378,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"CABBAGE AND POTATO, W/ COCONUT MILK",Dessert,R,2.6,92.0,32.480000000000004,3.44,3.44,161.4,2.4,12.9,10.6,5.8,0.0,40.0,24.5,0.89,0.23,0.03,0.03,0.4,0.07,0.0,31.0,14.9,25.0,0.1,0.6,0.2,0.39368963180000005,57.20434561,220.47943124000003,13.213036245999998,10.6044677568,0.0,56.0444222,16.473802,111.171001,1.4976106824
"CABBAGE LEAVES, FRESH OR WATER-COOKED MALLUM W/ SCRAPED COCONUT",Dessert,R,4.9,106.0,44.32000000000001,3.46,2.7399999999999998,197.2,2.2,9.2,5.0,0.6,0.0,46.0,27.3,0.66,0.3,0.03,0.05,0.2,0.09,0.0,45.4,17.6,4.0,0.6,1.6,0.3,0.4783390118,43.208553394,314.07916392,230.2654576406,13.9094891212,0.0,49.099821199999994,16.248561439999996,124.9953922,1.0630223628
"CABBAGE LEAVES, TEMPERED",Dessert,R,4.4,106.0,41.32,4.459999999999999,8.34,474.0,4.5,14.8,8.1,5.0,0.0,148.0,53.3,3.06,0.54,0.06,0.1,0.6,0.25,0.0,65.9,29.3,75.0,0.3,2.2,0.3,0.6249111476,60.14079968,443.55163009999995,27.461484973999994,19.8286564908,22.4,112.6419622,41.0631848,123.7607804,1.4663377916
"CABBAGE LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT",Dessert,R,4.7,106.0,44.32000000000001,3.46,2.7399999999999998,197.2,2.1,17.8,4.8,0.5,0.0,41.0,25.9,0.65,0.29,0.02,0.05,0.2,0.08,0.0,40.3,15.6,3.0,0.7,1.6,0.2,0.3865322484,56.929957679999994,306.32972692000004,422.9149618846001,28.913879541199996,0.0,57.5057314,23.01065384,105.0445092,1.0663916106
"CABBAGE, TEMPERED",Dessert,R,,92.0,29.48,4.4399999999999995,9.040000000000001,385.6,2.0,6.23,5.4,2.3440000000000003,0.0,37.8,25.939999999999998,7.1,0.99,0.06,0.08,0.39,0.03,0.0,1.86,88.4,148.1,0.23200000000000004,1.3699999999999999,0.37,0.4094150086,51.876058306000004,237.47419677999997,16.080056342,84.22612233819999,27.0,207.56308399999998,184.5253066,236.503458,3.5468012119999996
